"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"STFJBUS","199813","0.568","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","199913","0.664","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","200013","0.75","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","200113","0.925","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","200213","1.071","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","200313","1.241","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","200413","1.513","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","200513","2.264","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","200613","3.261","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","200713","4.58","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","200813","7.326","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","200913","9.703","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","201013","15.293","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","201113","24.115","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","201213","37.546","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","201313","49.838","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","201413","68.497","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","201513","83.521","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","201613","109.488","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","201713","139.168","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","201813","168.138","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","201913","199.451","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"SUT3BUS","194913","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","195013","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","195113","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","195213","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","195313","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","195413","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","195513","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","195613","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","195713","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","195813","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","195913","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","196013","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","196113","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","196213","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","196313","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","196413","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","196513","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","196613","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","196713","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","196813","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","196913","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","197013","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","197113","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","197213","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","197313","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","197413","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","197513","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","197613","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","197713","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","197813","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","197913","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","198013","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","198113","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","198213","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","198313","Not Available","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","198413","0.018","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","198513","0.036","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","198613","0.048","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","198713","0.036","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","198813","0.031","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","198913","0.855","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","199013","1.253","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","199113","1.61","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","199213","1.364","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","199313","1.578","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","199413","1.66","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","199513","1.695","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","199613","1.778","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","199713","1.744","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","199813","1.714","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","199913","1.689","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","200013","1.683","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","200113","1.852","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","200213","1.893","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","200313","1.822","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","200413","1.962","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","200513","1.878","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","200613","1.732","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","200713","2.087","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","200813","2.949","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
"SUT3BUS","200913","3.041","4","Utility-Scale Solar Energy, Transformed Into Electricity","Trillion Btu"
