"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Utah : all solar",,"ELEC.GEN.TSN-UT-99.A",,,,,,,,,,,,,,,,,,,
"Utah : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-UT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",37,67,150,289,394,460
"Utah : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-UT-99.A","--","--","--","--","--","--","--","--","--","--","--",2,2,2,32,1054,2211,2224,2148
"Wyoming",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Wyoming : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-WY-99.A",44777,43784,43627,44808,45567,45400,45633,46500,46029,48119,47638,49589,52483,49696,48967,46657,46742,46112,41335
"Wyoming : coal","thousand megawatthours","ELEC.GEN.COW-WY-99.A",42789,41923,42341,43346,43346,42892,43127,43808,41954,42987,40961,43412,46437,43409,43091,40027,40069,39679,34846
"Wyoming : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-WY-99.A",36,40,45,46,42,46,47,44,50,56,55,52,39,45,45,56,44,40,44
"Wyoming : petroleum coke","thousand megawatthours","ELEC.GEN.PC-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming : natural gas","thousand megawatthours","ELEC.GEN.NG-WY-99.A",592,713,280,87,325,501,594,495,488,459,459,513,512,557,722,788,779,896,1042
"Wyoming : other gases","thousand megawatthours","ELEC.GEN.OOG-WY-99.A",8,"--","--",13,264,310,312,289,284,279,265,282,281,337,405,358,360,378,285
"Wyoming : nuclear","thousand megawatthours","ELEC.GEN.NUC-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-WY-99.A",879,584,594,593,808,843,729,835,967,1024,1224,893,711,869,868,973,1124,976,820
"Wyoming : other renewables",,"ELEC.GEN.AOR-WY-99.A",,,,,,,,,,,,,,,,,,,
"Wyoming : wind","thousand megawatthours","ELEC.GEN.WND-WY-99.A",365,447,366,617,717,759,755,963,2226,3247,4612,4369,4433,4406,3757,4389,4321,4057,4042
"Wyoming : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,180
"Wyoming : geothermal","thousand megawatthours","ELEC.GEN.GEO-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming : biomass","thousand megawatthours","ELEC.GEN.BIO-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming : other","thousand megawatthours","ELEC.GEN.OTH-WY-99.A",108,77,"--",107,65,49,69,67,60,68,62,67,69,74,78,65,46,85,77
"Wyoming : all solar",,"ELEC.GEN.TSN-WY-99.A",,,,,,,,,,,,,,,,,,,
"Wyoming : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",2,3,3,5,6,9
"Wyoming : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,180
"Pacific Contiguous",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"California",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"California : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-CA-99.A",198596,184210,192789,194780,200293,216799,210848,207984,204776,204126,200805,199519,200077,198808,196704,196963,206147,195466,205033
"California : coal","thousand megawatthours","ELEC.GEN.COW-CA-99.A",2233,2328,2326,2238,2135,2235,2298,2280,2050,2100,1982,1375,823,805,298,319,291,281,240
"California : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-CA-99.A",935,131,396,172,257,272,278,162,137,54,47,134,48,47,85,92,46,69,52
"California : petroleum coke","thousand megawatthours","ELEC.GEN.PC-CA-99.A",2120,1830,1996,2091,2287,2096,2056,1580,1406,1006,864,156,21,19,0,84,0,0,0
"California : natural gas","thousand megawatthours","ELEC.GEN.NG-CA-99.A",111932,89624,91432,100222,93354,105691,115700,119992,113463,107522,88974,119668,119523,120426,116140,97074,88350,89805,85535
"California : other gases","thousand megawatthours","ELEC.GEN.OOG-CA-99.A",1130,1240,1759,2066,2280,2022,1818,1685,1623,1695,1667,1484,1406,1333,1549,1427,1408,1454,1476
"California : nuclear","thousand megawatthours","ELEC.GEN.NUC-CA-99.A",33220,34352,35594,30268,36155,31959,35792,32482,31764,32201,36663,18507,17912,16986,18505,18908,17901,18214,16165
"California : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-CA-99.A",25542,31141,36371,34141,39632,48047,27328,24128,27888,33431,42557,26837,23755,16531,13808,28942,42363,26331,40051
"California : other renewables",,"ELEC.GEN.AOR-CA-99.A",,,,,,,,,,,,,,,,,,,
"California : wind","thousand megawatthours","ELEC.GEN.WND-CA-99.A",3500,3803,3895,4306,4262,4883,5585,5385,5840,6079,7752,9754,12822,12992,12230,13509,12823,14024,14970
"California : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CA-99.A",542,554,534,571,537,495,557,670,647,769,889,1382,3814,9932,14814,18807,24353,26985,28620
"California : geothermal","thousand megawatthours","ELEC.GEN.GEO-CA-99.A",12181,13074,12982,13105,13023,12821,12991,12883,12853,12600,12552,12519,12307,12102,11883,11457,11560,11677,11407
"California : biomass","thousand megawatthours","ELEC.GEN.BIO-CA-99.A",5406,5976,6134,5989,5833,5717,5713,5846,6200,6002,6029,6311,6635,6891,6468,5939,5808,5946,5782
"California : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-CA-99.A",-350,-241,-912,-817,120,96,310,321,153,-171,-89,575,196,-105,113,-259,407,-149,-31
"California : other","thousand megawatthours","ELEC.GEN.OTH-CA-99.A",204,398,281,429,420,464,421,570,753,839,917,815,816,848,812,666,836,829,764
"California : all solar",,"ELEC.GEN.TSN-CA-99.A",,,,,,,,,,,,,,,,,,,
"California : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-CA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",4674,6014,8230,10605,12919,15181
"California : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CA-99.A",542,554,534,571,537,495,557,670,647,769,889,1382,3814,9932,14814,18807,24353,26985,28620
"Oregon",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Oregon : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-OR-99.A",45052,47099,48966,51381,49325,53341,55078,58718,56691,55127,59695,60933,59896,60120,57867,60182,62714,64114,62288
"Oregon : coal","thousand megawatthours","ELEC.GEN.COW-OR-99.A",4445,3780,4305,3556,3466,2371,4352,4044,3197,4126,3334,2634,3759,3193,2377,1898,1728,1476,2569
"Oregon : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-OR-99.A",102,7,44,63,78,12,14,15,8,3,8,6,6,10,6,5,10,5,5
"Oregon : petroleum coke","thousand megawatthours","ELEC.GEN.PC-OR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon : natural gas","thousand megawatthours","ELEC.GEN.NG-OR-99.A",10983,7813,10244,13525,13191,11239,14858,17387,16133,15651,8498,11625,14363,12699,16237,15307,15066,17923,21091
"Oregon : other gases","thousand megawatthours","ELEC.GEN.OOG-OR-99.A","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Oregon : nuclear","thousand megawatthours","ELEC.GEN.NUC-OR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-OR-99.A",28645,34413,33250,33081,30948,37850,33587,33805,33034,30542,42315,39410,33098,35262,31254,34549,38294,35443,29526
"Oregon : other renewables",,"ELEC.GEN.AOR-OR-99.A",,,,,,,,,,,,,,,,,,,
"Oregon : wind","thousand megawatthours","ELEC.GEN.WND-OR-99.A",89,376,444,619,734,931,1247,2575,3470,3920,4775,6343,7456,7555,6632,7157,6227,7447,7169
"Oregon : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OR-99.A","--","--","--","--","--","--","--","--","--","--",0,6,20,24,24,41,194,572,665
"Oregon : geothermal","thousand megawatthours","ELEC.GEN.GEO-OR-99.A","--","--","--","--","--","--","--","--","--","--","--",26,165,183,179,184,174,176,152
"Oregon : biomass","thousand megawatthours","ELEC.GEN.BIO-OR-99.A",751,673,639,496,866,898,981,848,803,837,714,832,994,1151,1116,1001,981,1037,1076
"Oregon : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-OR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon : other","thousand megawatthours","ELEC.GEN.OTH-OR-99.A",38,38,41,42,40,40,38,44,47,47,51,50,35,43,42,41,39,34,36
"Oregon : all solar",,"ELEC.GEN.TSN-OR-99.A",,,,,,,,,,,,,,,,,,,
"Oregon : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-OR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",80,92,151,179,205,257
"Oregon : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OR-99.A","--","--","--","--","--","--","--","--","--","--",0,6,20,24,24,41,194,572,665
"Washington",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Washington : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-WA-99.A",83049,102765,100095,102165,101966,108203,106990,110828,104470,103473,115263,116835,114173,116334,109287,114087,115912,116757,105719
"Washington : coal","thousand megawatthours","ELEC.GEN.COW-WA-99.A",9082,8661,11090,10409,10494,6373,8557,8762,7478,8527,5229,3763,6740,6720,5052,4602,5490,5383,7170
"Washington : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-WA-99.A",320,73,67,86,67,38,37,35,54,32,37,27,24,24,22,22,23,24,20
"Washington : petroleum coke","thousand megawatthours","ELEC.GEN.PC-WA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0
"Washington : natural gas","thousand megawatthours","ELEC.GEN.NG-WA-99.A",9374,4719,7083,8469,8579,7495,7287,9809,11971,10359,4850,5438,11424,11059,13046,10982,10849,10535,13716
"Washington : other gases","thousand megawatthours","ELEC.GEN.OOG-WA-99.A","--",313,303,275,322,349,334,272,245,292,297,405,410,337,395,402,356,431,322
"Washington : nuclear","thousand megawatthours","ELEC.GEN.NUC-WA-99.A",8250,9048,7615,8982,8242,9328,8109,9270,6634,9241,4806,9334,8461,9497,8161,9626,8128,9708,8866
"Washington : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-WA-99.A",54734,78167,71757,71576,72075,82008,78829,77637,72933,68288,91818,89464,78155,79463,73405,78346,82183,80883,66181
"Washington : other renewables",,"ELEC.GEN.AOR-WA-99.A",,,,,,,,,,,,,,,,,,,
"Washington : wind","thousand megawatthours","ELEC.GEN.WND-WA-99.A","--",417,604,737,498,1038,2438,3657,3572,4745,6262,6600,7004,7268,7075,8042,6925,7900,7724
"Washington : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WA-99.A","--","--","--","--","--","--","--",0,0,0,1,1,1,1,1,1,0,2,42
"Washington : geothermal","thousand megawatthours","ELEC.GEN.GEO-WA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Washington : biomass","thousand megawatthours","ELEC.GEN.BIO-WA-99.A",1221,1308,1525,1575,1615,1465,1293,1281,1472,1872,1751,1614,1817,1840,1991,2008,1899,1803,1602
"Washington : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-WA-99.A","--",-5,-3,-10,8,47,45,49,52,53,52,44,7,-5,40,-2,3,28,9
"Washington : other","thousand megawatthours","ELEC.GEN.OTH-WA-99.A",66,64,56,67,65,62,62,56,59,62,160,147,129,131,100,60,56,59,67
"Washington : all solar",,"ELEC.GEN.TSN-WA-99.A",,,,,,,,,,,,,,,,,,,
"Washington : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-WA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",36,55,89,116,150,210
"Washington : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WA-99.A","--","--","--","--","--","--","--",0,0,0,1,1,1,1,1,1,0,2,42
"Pacific Noncontiguous",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Alaska",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Alaska : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-AK-99.A",6744,6767,6339,6527,6577,6674,6821,6775,6702,6760,6871,6946,6497,6043,6285,6335,6497,6247,6340
"Alaska : coal","thousand megawatthours","ELEC.GEN.COW-AK-99.A",565,575,550,649,624,617,641,618,631,620,656,685,625,558,668,594,556,629,674
"Alaska : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-AK-99.A",937,962,846,747,759,768,1010,978,1157,937,945,1038,819,446,747,831,881,809,915
"Alaska : petroleum coke","thousand megawatthours","ELEC.GEN.PC-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska : natural gas","thousand megawatthours","ELEC.GEN.NG-AK-99.A",3896,3778,3354,3623,3724,4058,3868,4002,3577,3750,3906,3606,3421,3288,3090,3040,3235,2948,3163
"Alaska : other gases","thousand megawatthours","ELEC.GEN.OOG-AK-99.A","--","--","--","--","--","--","--","--","--","--",3,3,"NM","--","--","--","--","--","--"
"Alaska : nuclear","thousand megawatthours","ELEC.GEN.NUC-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-AK-99.A",1346,1439,1583,1498,1464,1224,1291,1172,1324,1433,1345,1575,1435,1539,1569,1659,1644,1664,1398
"Alaska : other renewables",,"ELEC.GEN.AOR-AK-99.A",,,,,,,,,,,,,,,,,,,
"Alaska : wind","thousand megawatthours","ELEC.GEN.WND-AK-99.A",1,"--","--","--",1,1,1,0,7,13,12,37,145,152,160,169,142,155,154
"Alaska : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska : geothermal","thousand megawatthours","ELEC.GEN.GEO-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska : biomass","thousand megawatthours","ELEC.GEN.BIO-AK-99.A","--",12,6,9,5,7,10,5,7,6,3,3,52,63,55,43,44,45,39
"Alaska : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska : other","thousand megawatthours","ELEC.GEN.OTH-AK-99.A","--","--","--","--","--","--","--",0,0,0,0,0,-0,-2,-2,-2,-3,-3,-3
"Alaska : all solar",,"ELEC.GEN.TSN-AK-99.A",,,,,,,,,,,,,,,,,,,
"Alaska : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,2,3,4
"Alaska : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaii",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Hawaii : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-HI-99.A",10633,11663,10976,11410,11523,11559,11533,11376,11011,10836,10723,10469,10267,10204,10120,9949,9813,9797,9871
"Hawaii : coal","thousand megawatthours","ELEC.GEN.COW-HI-99.A",1605,1546,1644,1604,1631,1549,1579,1648,1500,1546,1424,1537,1404,1511,1337,1497,1376,1311,1302
"Hawaii : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-HI-99.A",8224,9467,8503,8945,9068,9054,8914,8670,8289,8087,7924,7483,7223,6926,7023,6640,6634,6749,6837
"Hawaii : petroleum coke","thousand megawatthours","ELEC.GEN.PC-HI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaii : natural gas","thousand megawatthours","ELEC.GEN.NG-HI-99.A",0,"--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--"
"Hawaii : other gases","thousand megawatthours","ELEC.GEN.OOG-HI-99.A",38,41,40,48,41,43,45,39,22,22,35,47,41,62,50,51,52,56,6
"Hawaii : nuclear","thousand megawatthours","ELEC.GEN.NUC-HI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaii : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-HI-99.A",101,95,91,94,96,120,92,84,113,70,93,115,78,94,121,91,66,97,70
"Hawaii : other renewables",,"ELEC.GEN.AOR-HI-99.A",,,,,,,,,,,,,,,,,,,
"Hawaii : wind","thousand megawatthours","ELEC.GEN.WND-HI-99.A",2,2,2,7,7,80,238,240,251,261,341,378,503,579,613,639,532,602,595
"Hawaii : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-HI-99.A","--","--","--","--","--","--","--",0,1,2,4,5,19,39,54,89,175,185,268
"Hawaii : geothermal","thousand megawatthours","ELEC.GEN.GEO-HI-99.A",207,73,178,213,222,212,230,234,168,201,224,261,275,254,230,260,323,110,108
"Hawaii : biomass","thousand megawatthours","ELEC.GEN.BIO-HI-99.A",288,297,347,329,310,326,285,302,284,283,313,281,329,334,321,359,293,306,290
"Hawaii : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-HI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaii : other","thousand megawatthours","ELEC.GEN.OTH-HI-99.A",169,143,172,171,149,176,149,159,381,364,366,363,394,405,369,322,363,382,395
"Hawaii : all solar",,"ELEC.GEN.TSN-HI-99.A",,,,,,,,,,,,,,,,,,,
"Hawaii : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-HI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",551,632,760,971,1029,1112
"Hawaii : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-HI-99.A","--","--","--","--","--","--","--",0,1,2,4,5,19,39,54,89,175,185,268
