"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Pennsylvania : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-PA-99.A",3371,2269,3964,3542,4537,1251,1307,730,734,567,419,248,302,641,571,273,256,559,178
"Pennsylvania : petroleum coke","thousand megawatthours","ELEC.GEN.PC-PA-99.A",192,464,572,600,403,268,177,208,181,4,23,35,158,162,158,90,99,66,57
"Pennsylvania : natural gas","thousand megawatthours","ELEC.GEN.NG-PA-99.A",3036,6716,5519,9814,10808,13542,19198,18731,29215,33718,41792,53062,49938,53021,59455,68049,72503,76391,98401
"Pennsylvania : other gases","thousand megawatthours","ELEC.GEN.OOG-PA-99.A",613,569,508,584,540,554,534,610,443,552,616,598,650,491,420,488,446,528,521
"Pennsylvania : nuclear","thousand megawatthours","ELEC.GEN.NUC-PA-99.A",73731,76089,74361,77459,76289,75298,77376,78658,77328,77828,76147,75174,78714,78715,80517,82924,83200,83477,83230
"Pennsylvania : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-PA-99.A",1650,2211,3346,3155,2232,2844,2236,2549,2683,2332,3217,2242,2525,2641,2604,2375,3123,4262,4040
"Pennsylvania : other renewables",,"ELEC.GEN.AOR-PA-99.A",,,,,,,,,,,,,,,,,,,
"Pennsylvania : wind","thousand megawatthours","ELEC.GEN.WND-PA-99.A",11,58,112,306,284,361,470,729,1075,1854,1794,2129,3352,3565,3353,3476,3591,3567,3549
"Pennsylvania : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-PA-99.A","--","--","--","--","--","--","--",0,4,8,23,32,63,62,64,75,70,62,88
"Pennsylvania : geothermal","thousand megawatthours","ELEC.GEN.GEO-PA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pennsylvania : biomass","thousand megawatthours","ELEC.GEN.BIO-PA-99.A",1885,2005,1986,1969,2045,2112,2076,2074,2274,2383,2281,2298,2339,2453,2404,2391,2438,2265,2098
