"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVTCBUS","196813","2348.629","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","196913","2647.983","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","197013","2633.547","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","197113","2824.151","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","197213","2863.865","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","197313","2861.448","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","197413","3176.58","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","197513","3154.607","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","197613","2976.265","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","197713","2333.252","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","197813","2936.983","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","197913","2930.686","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","198013","2900.144","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","198113","2757.968","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","198213","3265.558","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","198313","3527.26","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","198413","3385.811","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","198513","2970.192","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","198613","3071.179","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","198713","2634.508","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","198813","2334.265","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","198913","2837.263","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","199013","3046.391","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","199113","3015.943","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","199213","2617.436","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","199313","2891.613","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","199413","2683.457","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","199513","3205.307","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","199613","3589.656","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","199713","3640.458","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","199813","3297.054","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","199913","3267.575","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","200013","2811.116","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","200113","2241.858","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","200213","2689.017","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","200313","2792.539","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","200413","2688.468","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","200513","2702.942","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","200613","2869.035","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","200713","2446.389","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","200813","2511.108","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","200913","2668.824","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","201013","2538.541","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","201113","3102.852","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","201213","2628.702","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","201313","2562.382","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","201413","2466.577","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","201513","2321.177","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","201613","2472.442","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","201713","2766.967","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","201813","2663.138","3","Conventional Hydropower Consumption","Trillion Btu"
"HVTCBUS","201913","2491.832","3","Conventional Hydropower Consumption","Trillion Btu"
"GEDUBUS","194913","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","195013","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","195113","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","195213","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","195313","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","195413","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","195513","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","195613","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","195713","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","195813","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","195913","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
"GEDUBUS","196013","Not Available","4","Geothermal Energy, Direct Consumption","Trillion Btu"
