Draw Date,Winning Numbers,Power Play,Jackpot,Winners,State1 ,State2 ,State3,State4
9/18/2013,07 10 22 32 35 19,1,$399 Million,1,SC,,,
9/21/2013,12 17 45 54 58 13,1,$40 Million,R,,,,
9/25/2013,02 07 17 49 53 23,1,$50 Million,R,,,,
9/28/2013,14 47 52 53 54 05,1,$60 Million,R,,,,
10/2/2013,04 06 25 42 51 17,1,$70 Million,R,,,,
10/5/2013,11 12 17 39 40 05,1,$86 Million,R,,,,
10/9/2013,03 09 19 33 38 18,1,$108 Million,R,,,,
10/12/2013,08 10 26 57 58 04,1,$133 Million,R,,,,
10/16/2013,03 26 28 34 42 28,1,$156 Million,R,,,,
10/19/2013,09 33 54 56 57 05,1,$186 Million,R,,,,
10/23/2013,03 23 31 34 47 13,1,$216 Million,1,CA,,,
10/26/2013,04 06 34 49 56 29,1,$40 Million,R,,,,
10/30/2013,02 36 40 49 54 10,1,$50 Million,R,,,,
11/2/2013,13 23 24 27 40 17,1,$60 Million,R,,,,
11/6/2013,01 05 10 15 49 22,1,$70 Million,R,,,,
11/9/2013,03 09 37 49 56 32,1,$87 Million,R,,,,
11/13/2013,05 31 50 55 56 09,1,$110 Million,R,,,,
11/16/2013,10 29 37 44 59 10,1,$130 Million,1,NY,,,
11/20/2013,04 18 23 32 45 07,1,$40 Million,R,,,,
11/23/2013,05 12 43 52 55 10,1,$50 Million,R,,,,
11/27/2013,18 25 50 55 57 17,1,$60 Million,R,,,,
11/30/2013,05 26 44 45 57 29,1,$70 Million,R,,,,
12/4/2013,06 09 11 31 44 25,1,$81 Million,R,,,,
12/7/2013,13 20 32 45 48 17,1,$100 Million,R,,,,
12/11/2013,01 10 13 18 19 27,1,$122.9 Million,2,NE,MA,,
12/14/2013,14 25 32 33 41 34,1,$40 Million,R,,,,
12/18/2013,07 24 37 39 40 01,1,$50 Million,R,,,,
12/21/2013,25 36 40 45 51 08,1,$60 Million,R,,,,
12/25/2013,23 28 38 39 56 32,1,$71.5 Million,1,MO,,,
